camp,uid,address_2026,events_2026,talks_2026,parties_2026,website,instagram,facebook,soundcloud,youtube,email,hometown,accepting_campers,publishes_lineup,official_2026
Galactic Cruzaders,a1XVI00000FK1P72AL,6:30 & F,13,2,4,https://soundcloud.com/the-galactic-cruzader,,,player,,redacted@example.invalid,Reno,yes,,yes
Camp NOT a Cult!,a1XVI00000FK2g92AD,3:45 & B,13,8,0,,,,,,redacted@example.invalid,"Flagstaff, Arizona",yes,,yes
Pink Lightning,a1XVI00000FKcEz2AL,7:45 & D,13,2,1,https://www.burningman50k.com/pink-lightning/,,groups,,,redacted@example.invalid,Honolulu,,,yes
Better Together,a1XVI00000FKnC12AL,9:15 & E,13,2,5,https://bettertogether.camp/,,,,,,"Tel-Aviv, San Diego, Zurich",yes,,yes
Camp BUI,a1XVI00000FLlbB2AT,2:45 & B,13,0,1,https://www.campbui.org,,,,,redacted@example.invalid,Medford,yes,,yes
Sobremesa,a1XVI00000FKr172AD,3:30 & C,12,5,5,,,,,,redacted@example.invalid,Mexico City,yes,,yes
Spanky's Wine Bar,a1XVI00000FLb8n2AD,7:30 & E,12,2,6,https://spankys.org,,,,,redacted@example.invalid,Reno,yes,,yes
Lakes on the Playa Village,a1XVI00000FMIld2AH,3:30 & Esp,12,0,6,https://syncytium.org/,,,,,redacted@example.invalid,Ann Arbor,yes,,yes
Comfort & Joy,a1XVI00000FMJeT2AX,7:00 & E,12,5,4,https://www.cnj.world,playajoy,2008,,,redacted@example.invalid,San Francisco,yes,yes,yes
Cosmic Llama,a1XVI00000FMNTZ2A5,4:00 & E,12,8,8,http://bit.ly/Cosmicllama2025,,,,,redacted@example.invalid,Los Angeles,yes,,yes
A Shack of Sit,a1XVI00000FMPWz2AP,6:45 & Esp,12,2,4,https://burningmansig.com/,,,,,redacted@example.invalid,Los Angeles,yes,,yes
Yellow Balloon,a1XVI00000FMQo22AH,7:00 & A,12,5,2,,,groups,,,redacted@example.invalid,San Francisco,,,yes
Opulent Temple,a1XVI00000FMSoD2AX,10:00 & Esp,12,5,7,http://opulentchill.org,,opulentchill,opulent-chill,,redacted@example.invalid,San Francisco,yes,,yes
Anonymous Village,a1XVI00000FNzrl2AD,5:30 & F,12,0,0,http://anonymousvillage.com,,groups,,,redacted@example.invalid,Reno,yes,,yes
Node,a1XVI00000FPAA22AP,9:00 & G@ 1:00,12,6,1,https://www.node.family/,,,,,redacted@example.invalid,Brooklyn,yes,,yes
Dark Heart,a1XVI00000FPOWL2A5,3:30 & D,12,7,4,,,https://www.facebook.com/groups/darkheartcamp,,,,"Laramie, Wyoming",yes,,yes
Down Low Club,a1XVI00000FBH052AH,7:15 & D,11,1,10,,,groups,,,redacted@example.invalid,Palm Springs,,,yes
No Holes Barred Comedy Club,a1XVI00000FFWGf2AP,7:30 & G@ 1:30,11,4,2,https://www.noholesbarredcomedy.com/,noholesbarred_comedyclub,,,,redacted@example.invalid,Los Angeles,,,yes
Celestial Alchemy,a1XVI00000FI97R2AT,7:30 & Esp,11,9,3,,,,,,,Denver,,,yes
Lobe,a1XVI00000FKrqj2AD,4:15 & B,11,5,2,http://campus-callosum.org/,campus_callosum,groups,,,redacted@example.invalid,"New York, NY",,,yes
Desert Dragon,a1XVI00000FML1x2AH,2:00 & G,11,1,9,https://www.pinkdragoncamp.com/,,,,,,"Los Angeles, CA",yes,,yes
Pink Heart,a1XVI00000FMNoX2AX,9:00 & Esp,11,5,0,https://pinkheartcamp.wordpress.com/,pinkheartcamp,groups,,,redacted@example.invalid,San Diego,yes,,yes
Videogasm,a1XVI00000FMcvd2AD,6:45 & Esp,11,1,4,https://www.videogasm.com,,videogasm,,,redacted@example.invalid,Detroit,yes,,yes
Reverbia,a1XVI00000FMnpR2AT,7:45 & Esp,11,3,11,http://reverbia.org,,groups,,,redacted@example.invalid,"Eugene, OR",yes,,yes
Dusty Dreamers,a1XVI00000FOsD72AL,7:30 & E,11,4,2,,https://www.instagram.com/dustydreamers.camp?igsh=MXoyZzkxanJiNWJu,dustyfrogz,,,redacted@example.invalid,Paris,yes,,yes
Sol Family,a1XVI00000FP9972AD,2:30 & B,11,8,4,https://solfamily.camp,,,,,redacted@example.invalid,Bozeman,yes,,yes
Brain Freeze Camp,a1XVI00000FPSdB2AX,5:00 & B,11,4,1,http://BlackRockFX.com,,,,,redacted@example.invalid,"OAKLAND, CA",,,yes
Lands Beyond,a1XVI00000FEGp32AH,8:45 & F,10,7,2,http://www.landsbeyond.life,,,,,redacted@example.invalid,Mexico City,yes,,yes
Yes Please,a1XVI00000FLGlt2AH,7:00 & F,10,6,0,,,,,,,San Francisco,yes,,yes
Kaleidoscope,a1XVI00000FMMSf2AP,9:00 & B@ 7:00,10,3,6,https://sites.google.com/view/bm-kaleidoscope/,,,,,redacted@example.invalid,San Francisco,yes,yes,yes
People of Color Camp,a1XVI00000FMTPJ2A5,4:30 & G@ 7:15,10,5,2,,,People-Of-Color-at-Burning-Man-586227634754548,,,redacted@example.invalid,New York,yes,,yes
People's Art Congress,a1XVI00000FMhGz2AL,6:00 & G@ 7:30,10,9,2,http://mudbluff.org,,,,,redacted@example.invalid,Reno,yes,,yes
Playa Agora,a1XVI00000FQrBJ2A1,8:45 & F,10,10,0,https://PlayaAgora.Love,,,,,,Denver,yes,,yes
Off the Dome,a1XVI00000FErVF2A1,7:15 & Esp,9,3,3,http://offthedome.org,offthedomethemecamp,groups,black-rock-city-allstars,,redacted@example.invalid,"Reno, NV",yes,yes,yes
Camp Codename,a1XVI00000FFas92AD,4:15 & E,9,8,0,,,,,,redacted@example.invalid,Los Altos,,,yes
Irrelephant Bird Camp,a1XVI00000FFnRB2A1,6:30 & D,9,2,0,https://www.chakras.horse/,funnyhorsecartoons,Chakrashorse-416218478913345,,,redacted@example.invalid,Pacifica,,,yes
PolyParadise,a1XVI00000FG91t2AD,8:30 & F,9,6,2,http://www.polyparadise.com,,scott.platsky,,,redacted@example.invalid,Phoenix,yes,,yes
Amazone,a1XVI00000FI8hd2AD,4:00 & C,9,6,3,http://www.brazilianburners.com,brazilianburners,brazilianburners,,,redacted@example.invalid,Porto Alegre,yes,,yes
RhythmWave,a1XVI00000FLLf72AH,6:00 & E,9,9,8,http://www.rhythmwave.org,rhythmwave.dance,2008,player,,redacted@example.invalid,OLYMPIA,yes,yes,yes
Soul Forge,a1XVI00000FLpEz2AL,5:45 & C,9,9,1,,,,,,,San Francisco,,,yes
Rumi's Tea House,a1XVI00000FMByf2AH,8:00 & C,9,5,2,https://www.rumisteahouse.org/,rumisteahouse,2008,,,redacted@example.invalid,New York City,yes,,yes
Cold Yogis,a1XVI00000FMH812AH,6:15 & E,9,8,0,http://www.coldyogis.org/,_breakrMusic_,breakrmusic,,,redacted@example.invalid,Santa Cruz,,,yes
MindShark,a1XVI00000FMNrl2AH,3:00 & Esp,9,0,7,http://www.campmindshark.com,,,,,redacted@example.invalid,Burlington,yes,,yes
PLUR Pups,a1XVI00000FSeWX2A1,7:45 & B,9,3,2,https://www.plurpups.org,,,,,redacted@example.invalid,San Francisco,yes,,yes
Tengri Camp,a1XVI00000FYANh2AP,3:45 & E,9,8,1,,,,,,redacted@example.invalid,Almaty,yes,,yes
Sha La La,a1XVI00000Flfjp2AB,9:30 & G,9,5,1,,,,,,,Fort Lauderdale,,,yes
Snuggles,a1XVI00000FBBVz2AP,9:15 & G,8,5,0,,https://www.instagram.com/camp_snuggles?igsh=cjBmdjBoZDR1azN5,,,,redacted@example.invalid,Los Angeles,yes,,yes
Mystikal Misfits,a1XVI00000FDWcX2AX,8:30 & Esp,8,2,6,,,https://www.facebook.com/MysfitMultiverseVillageMM22/,,,redacted@example.invalid,Southern California,,,yes
Joyism,a1XVI00000FFsYv2AL,4:15 & E,8,1,0,http://joyism.org,,,,,redacted@example.invalid,San Francisco Bay area,,,yes
Awesomesauce,a1XVI00000FGaoT2AT,7:30 & B@ 5:00,8,2,0,http://www.campawesomesauce.org,,,,,redacted@example.invalid,North America,yes,,yes
Totally 80s Disco Aerobic Inferno,a1XVI00000FK2Hx2AL,7:45 & C,8,6,2,,https://www.instagram.com/totally80sdisco?igsh=emVjeHIxOXl1c242&utm_source=qr,,,,redacted@example.invalid,"San Francisco, CA",yes,,yes
BurningShip,a1XVI00000FKcDN2A1,8:00 & C,8,1,7,https://burningshipcamp.com/,burningshipcamp,,,,redacted@example.invalid,Las Vegas,,,yes
Vagabonds & Tagalongs,a1XVI00000FKnFF2A1,6:45 & D,8,1,4,,vagabondsandtagalongs,,,,redacted@example.invalid,Sacramento,yes,,yes
Camp [No Name],a1XVI00000FKnf32AD,7:15 & E,8,2,6,http://thecampwithno.name,,groups,,,redacted@example.invalid,Santa Cruz,yes,,yes
Celestial Bodies,a1XVI00000FLKmH2AX,7:30 & G@ 4:30,8,0,3,http://www.campcelestialbodies.org,camp_celestial_bodies,campcelestialbodies,loumusicaus,UC0P0IugDMPvyFA_LC7xEHpQ,redacted@example.invalid,Sacramento,yes,yes,yes
Black Rock City Municipal Pool,a1XVI00000FLqZF2A1,7:00 & C,8,2,4,https://www.brcmunicipalpool.com/,brcmunicipalpool,2008,,,redacted@example.invalid,New York,yes,,yes
SophistaPirate Cove,a1XVI00000FLqfh2AD,3:15 & Esp,8,2,4,http://www.sophistapirates.com/,,,,,redacted@example.invalid,Salt Lake City,yes,,yes
Camp TeaPunk,a1XVI00000FLyVR2A1,6:30 & E,8,2,4,https://campteapunk.com/,,,,,redacted@example.invalid,Casper,yes,,yes
Gallavant,a1XVI00000FM7Gj2AL,3:00 & G@ 10:30,8,0,8,https://www.Gallavant.us,,groups,,,redacted@example.invalid,Reno,yes,,yes
Glamcocks,a1XVI00000FMD7H2AX,7:00 & D,8,3,5,https://www.glamcocks.com/,glamcocks,,,TheGlamcocks,redacted@example.invalid,Seattle,,,yes
Mad Tea(se) Party,a1XVI00000FMLzd2AH,7:15 & Esp,8,2,5,,mad_tease_party,,,,redacted@example.invalid,Seattle,,,yes
The Cave,a1XVI00000FMQEX2A5,4:30 & C,8,1,5,,,,,,,San Francisco,yes,,yes
Camp Slow Your Roll,a1XVI00000FMiGH2A1,8:15 & B,8,3,2,,campslowyourroll,,,,redacted@example.invalid,San Francisco,yes,,yes
Inflatable Wildlife,a1XVI00000FNLxZ2AX,7:30 & Esp,8,1,4,,,,,,redacted@example.invalid,"Brooklyn, NY",yes,,yes
Magic Paradise,a1XVI00000FPOOH2A5,5:00 & B,8,3,0,https://magicparadise.org/,,,,,redacted@example.invalid,San Juan,yes,,yes
Gender Blender,a1XVI00000FQtuf2AD,6:45 & F,8,3,2,http://sites.google.com/genderblenders.org/burningman,,,,,redacted@example.invalid,Oakland,yes,,yes
Playa Choir,a1XVI00000FCLEX2A5,6:00 & D,7,3,7,https://playachoir.com,,,meza-me,,redacted@example.invalid,Gladstone,yes,yes,yes
Funky Town,a1XVI00000FI8zN2AT,10:00 & D,7,2,2,http://www.funkytownbrc.com,funkytownbrc,2008,,,redacted@example.invalid,Montana,yes,,yes
Playa Jazz Cafe,a1XVI00000FITvl2AH,CC@ 7:15,7,3,4,https://www.playajazz.com,,,,,redacted@example.invalid,SAN JOSE,,,yes
Bad Asstronauts,a1XVI00000FJaTl2AL,7:30 & B@ 9:45,7,1,6,,https://www.instagram.com/thebadasstronauts/,thebadasstronauts,,,redacted@example.invalid,Denver,,,yes
Soulshakers,a1XVI00000FKOyP2AX,2:30 & B,7,5,4,,,groups,,,redacted@example.invalid,Globel,yes,,yes
Stag Camp,a1XVI00000FKnVN2A1,9:15 & C,7,0,2,https://stagcamp.org/?fbclid=IwY2xjawQkHZZleHRuA2FlbQIxMQBzcnRjBmFwcF9pZBAyMjIwMzkxNzg4MjAwODkyAAEe5QvsDeLD5YU4qPCdDN-f72GcqF25gXHnVb4TOcgWMhRDzBwNJws6_pamkXY_aem_t0f7jfUjtx9XHJaliy3AkQ,,groups,,,redacted@example.invalid,San Diego,yes,,yes
Heart Fusion,a1XVI00000FLLgj2AH,4:45 & A,7,5,1,,,,,,,San Francisco,yes,,yes
And Then There's Only Love,a1XVI00000FLXEr2AP,7:30 & F,7,6,0,https://andthentheresonlylove.com/,orgydome,2008,,,redacted@example.invalid,San Francisco,yes,,yes
Twisted,a1XVI00000FLXYF2A5,5:00 & C,7,2,2,,,,,,,"Lake Tahoe, CA",,,yes
Glowskull Asylum Int'l,a1XVI00000FLoaf2AD,3:00 & Esp,7,2,4,,,,,,,Santa Cruz,yes,,yes
Planned Playahood,a1XVI00000FLpN32AL,7:00 & E,7,1,1,http://www.plannedplayahood.org/,,,,,redacted@example.invalid,San Francisco,,,yes
Palinka Lounge,a1XVI00000FLqar2AD,CC@ 3:30,7,2,2,,,PalinkaLounge,,,redacted@example.invalid,San Jose,yes,,yes
Never Sleep Again,a1XVI00000FLqe52AD,8:30 & F,7,3,3,http://www.neversleepagain.org,,,,,redacted@example.invalid,Berlin,yes,,yes
Suspended Animation,a1XVI00000FMLl72AH,7:00 & B,7,1,2,http://www.suspendedanimationcrew.com,,,,,redacted@example.invalid,"Seattle, WA",,,yes
Fermented Reality,a1XVI00000FMLtB2AX,7:00 & B,7,2,4,,fermented.reality,,,,redacted@example.invalid,New York,yes,,yes
Vietnamese Iced Coffee Experience,a1XVI00000FMOEL2A5,7:00 & E,7,0,1,,,groups,,,redacted@example.invalid,San Francisco,yes,,yes
Native Tongues,a1XVI00000FMPOv2AP,6:00 & D,7,1,6,,,,,,,New York,,,yes
Stampede!,a1XVI00000FMSY52AP,2:45 & E,7,5,2,,https://www.instagram.com/stampede_camp/,,,,redacted@example.invalid,Phoenix,,,yes
Pink Ponies,a1XVI00000FMesb2AD,7:00 & F,7,6,2,,http://instagram.com/burningmanpinkponies,,,,,"Portland, Oregon",,,yes
Casa de la Rumba,a1XVI00000FMfNF2A1,7:30 & E,7,3,5,https://casadelarumba.com,casa.delarumba,,,,redacted@example.invalid,San Francisco,yes,,yes
Nose Fish,a1XVI00000FMmBp2AL,6:15 & D,7,4,0,http://nosefish.org,,,,,redacted@example.invalid,Mountain View,,,yes
Toxic Disco Clam,a1XVI00000FMo0j2AD,4:15 & F,7,0,3,,,toxicdiscoclam,,,,San Francisco,,,yes
Rogue Nation (SEAWeed),a1XVI00000FQ2NJ2A1,6:15 & E,7,6,1,http://rnv.wikidot.com/,,,,,,Seattle,,,yes
Vines Without Borders,a1XVI00000FRN6L2AX,4:30 & Esp,7,4,2,http://www.vineswithoutborders.com,,,,,redacted@example.invalid,San Francisco,yes,,yes
Dusty Bunnies,a1XVI00000FSbf92AD,3:15 & B,7,3,3,,,DustyBunnyBoutique,,,redacted@example.invalid,Portland,yes,,yes
Black Rock City Pickleball Club,a1XVI00000FBKHJ2A5,8:00 & B,6,2,0,,https://www.instagram.com/brcpickleballclub/,,,,redacted@example.invalid,San Francisco,yes,,yes
Norse Code,a1XVI00000FBbBh2AL,8:45 & E,6,2,3,,,,,,,Los Angeles,,,yes
Cuddle Oasis,a1XVI00000FIcKj2AL,2:30 & Esp,6,2,4,,,,,,redacted@example.invalid,Bay Area/Sacramento,yes,,yes
Endstation,a1XVI00000FJWmj2AH,9:15 & J,6,1,3,https://endstation.camp,endstationcamp,,,,redacted@example.invalid,"Zurich, Switzerland",yes,,yes
Honey Pot Tea House,a1XVI00000FJZnp2AH,4:30 & G@ 11:00,6,2,2,,,,,,redacted@example.invalid,Reno,yes,,yes
Unitopia,a1XVI00000FKn7B2AT,9:30 & C,6,2,5,http://unitopia.me,,,,,redacted@example.invalid,Missoula,,,yes
Celestial Tea Garden,a1XVI00000FKnqL2AT,8:45 & E,6,3,1,,,,,,redacted@example.invalid,San Francisco,yes,,yes
Whynauts,a1XVI00000FLIUL2A5,4:30 & F,6,1,4,https://www.whynaut.org/,,,,,,San Francisco,yes,,yes
Practice Camp,a1XVI00000FLL0n2AH,7:30 & H,6,4,1,,,,,,,"Kaua'i, Hawai'i",,,yes
Lituanica Birds,a1XVI00000FLLwr2AH,4:30 & G@ 5:15,6,3,2,,lituanica_birds_camp,,,,redacted@example.invalid,Vilnius,,,yes
Great Vibrations,a1XVI00000FLoKX2A1,9:00 & G@ 9:30,6,0,3,,greatvibrationsbm,,,,redacted@example.invalid,Las Vegas,,,yes
The Hash House,a1XVI00000FM7zt2AD,8:45 & C,6,0,1,https://brch3.com/,,,,,redacted@example.invalid,San Francisco,yes,,yes
Retrofrolic,a1XVI00000FM87x2AD,7:30 & E,6,2,1,https://retrofrolic.org,,,,,redacted@example.invalid,"Stagecoach, Nevada",yes,,yes
Camp Cohere,a1XVI00000FMKsH2AX,2:15 & D,6,6,0,,,,,,,San Francisco,,,yes
Awkward & Tawdry Lounge,a1XVI00000FMMnd2AH,7:15 & Esp,6,0,3,http://049events.com/AwkwardAndTawdry/,,,,,redacted@example.invalid,Sacramento,,,yes
Pickle Joint,a1XVI00000FMPry2AH,6:00 & E,6,0,5,,,picklejoint,,,,Los Angeles,,,yes
Serenity Now,a1XVI00000FMQxh2AH,5:30 & B,6,0,0,,,,,,,"Tahoe, California",yes,,yes
Giants Workshop Saloon,a1XVI00000FMR0v2AH,8:30 & E,6,0,0,,,,,,,Hudson Valley,,,yes
Liquid Spankuary,a1XVI00000FMR2X2AX,5:45 & F,6,0,1,,,https://www.facebook.com/groups/1303435615168462,,,,Los Angeles,yes,,yes
Ocean Beach,a1XVI00000FMWzt2AH,4:00 & A,6,1,1,https://www.oceanbeach.camp,,,,,redacted@example.invalid,Sunnyvale,yes,,yes
Captain Pump's Raiders,a1XVI00000FMgBF2A1,6:15 & F,6,2,1,,,pumpsraiders,,,redacted@example.invalid,"Boulder, CO, USA, Earth, Sol System, Orion Arm, Milky Way, Laniakea Supercluster",yes,,yes
EBB & Glow Village,a1XVI00000FMjyj2AD,4:30 & Esp,6,1,3,,,groups,,,redacted@example.invalid,San Francisco Bay Area,yes,,yes
Kentucky Fried Camp,a1XVI00000FMojt2AD,6:00 & C,6,0,2,http://kentuckyfriedcamp.com,kentuckyfriedcamp,,,,redacted@example.invalid,"Lexington, Kentucky",yes,,yes
Freqz of Love,a1XVI00000FNwqg2AD,8:00 & E,6,5,0,,,,,,,San Diego,,,yes
Lunars Camp,a1XVI00000FPAQ92AP,3:30 & Esp,6,0,6,https://www.loonerscamp.com/,thelunarscamp,,lunarscamp,,redacted@example.invalid,New York City,yes,,yes
Black Rock Piano Lounge,a1XVI00000FQOfZ2AX,9:00 & B@ 5:00,6,1,5,,meltonjohnartcar,,,,redacted@example.invalid,Seattle,,,yes
Temple Guardians,a1XVI00000FSXnj2AH,5:45 & Esp,6,6,0,https://templeguardians.burningman.org/,,,,,redacted@example.invalid,Various!,,,yes
Deoxidized,a1XVI00000FSsw52AD,2:00 & D,6,3,2,https://deoxidized.net/,,deoxidized,deoxidized,-Deoxidized,redacted@example.invalid,Reno,yes,,yes
Pranksters in the Pines,a1XVI00000FW9Kb2AL,9:30 & A,6,2,1,,,,,,redacted@example.invalid,"South Lake Tahoe, Reno, Las Vegas",,,yes
pandemonium,a1XVI00000FWrer2AD,3:00 & F,6,3,2,,pandemoniumbrc,,,,redacted@example.invalid,los angeles,,,yes
The Airship,a1XVI00000FBFj32AH,4:30 & D,5,0,0,,,groups,,,,Calgary,,,yes
Send Noods,a1XVI00000FC89F2AT,4:45 & C,5,3,0,,,,,,,Santa Cruz,,,yes
Stoop,a1XVI00000FFaSL2A1,4:30 & E,5,0,0,,thetravelingstoop,,,,redacted@example.invalid,Independence Oregon,,,yes
Camp DIY,a1XVI00000FGuSD2A1,6:15 & G,5,0,0,,,campdiyburningman,,,redacted@example.invalid,Silver City,yes,,yes
Hotline Camp,a1XVI00000FHY7t2AH,8:15 & A,5,0,4,,,,,,,Los Angeles,,,yes
Hobo Camp,a1XVI00000FHz022AD,CC@ 9:15,5,1,2,,,profile.php,,,redacted@example.invalid,Seattle,,,yes
Waffles & House,a1XVI00000FI9aT2AT,8:30 & C,5,0,4,https://www.wafflecamp.com/,wafflecamp,wafflecamp,,,redacted@example.invalid,Oakland,yes,,yes
The Shittest Camp,a1XVI00000FIZmf2AH,5:15 & F,5,3,3,,,,,,,New York City,,,yes
Studio and Spa,a1XVI00000FJ0en2AD,3:45 & C,5,3,0,,,groups,,,redacted@example.invalid,Las Vegas,yes,,yes
Servants of the Secret Fire,a1XVI00000FJ1uD2AT,8:45 & F,5,1,3,https://se.cretfi.re,,,,,redacted@example.invalid,San Francisco,,,yes
Pinhole Project,a1XVI00000FJWl72AH,3:00 & B@ 3:45,5,2,0,https://pinholeproject.org/,pinholecamp,2008,,,redacted@example.invalid,SAN FRANCISCO,,yes,yes
I Taste Purple,a1XVI00000FJa8n2AD,7:15 & E,5,0,2,,,,,,,Reno,yes,,yes
Yabba Dabba Do Me,a1XVI00000FJswv2AD,3:15 & B,5,0,1,,,,,,,Reno,,,yes
Insomnophilia,a1XVI00000FK2oD2AT,8:45 & C,5,2,2,,,,,,redacted@example.invalid,Seattle,,,yes
F.U.Ego Stage Bar & Lounge,a1XVI00000FK3h32AD,7:30 & B@ 6:45,5,0,5,,,campfuegoburningman,,,redacted@example.invalid,Oakland,yes,,yes
